,model,no_offload_kqv,flash_attn,n_gpu_layers,promptlen,prompt_tokens,prompt_seconds,prompttps,completion_tokens,gen_seconds,gentps,overhead_seconds
0,IQ2_XXS,False,False,28,128,134,0.17300928340238683,774.5249119860313,256,10.283310413360596,24.797462076870804,0.22320330844205968
1,IQ2_XXS,False,False,28,1024,1069,0.4389350973069668,2433.161546097783,257,10.642491340637207,24.054518045271184,0.21099787577986717
2,IQ2_XXS,False,False,28,2048,2132,0.7858239701017737,2728.3464001770344,257,11.004393815994263,23.263434977028766,0.21911278273910284
3,IQ2_XXS,False,False,28,3072,3174,1.169093158096075,2714.924792793256,257,11.40410852432251,22.448050143858865,0.2704758904874325
4,IQ2_XXS,False,False,28,5120,5306,1.9511379469186068,2719.4386785309875,257,12.26320219039917,20.875461076587463,0.2298747766762972
5,IQ2_XXS,False,False,28,8192,8599,3.701906893402338,2322.8569079696263,257,13.320929527282715,19.217878112460856,0.2504443861544132
6,IQ2_XXS,False,False,28,11264,11736,5.990751880221069,1959.019541227757,257,14.773483514785767,17.3283437006436,0.2920314250513911
7,IQ2_XXS,False,False,28,15360,15959,8.74759896285832,1824.3863336397535,257,15.79508352279663,16.20757494764253,0.31284173019230366
8,IQ2_XXS,False,False,32,128,130,0.14072347432374954,994.8588938183468,257,6.517220497131348,39.280549140953916,0.21450615674257278
9,IQ2_XXS,False,False,32,1024,1060,0.32598490361124277,3352.916002832666,257,6.400572299957275,39.99642344508925,0.21440858487039804
10,IQ2_XXS,False,False,32,2048,2119,0.5601301779970527,3783.049161138306,257,6.8697898387908936,37.264604304846806,0.22038656380027533
11,IQ2_XXS,False,False,32,3072,3186,0.8187777502462268,3891.165824965188,257,6.963347434997559,36.76392746301187,0.22662968467921019
12,IQ2_XXS,False,False,32,5120,5360,1.4768088925629854,3627.4158606283754,257,7.073474884033203,36.19154718112636,0.2590902913361788
13,IQ2_XXS,False,False,32,8192,8549,2.739904820919037,3120.181378100732,257,7.3035430908203125,35.051480742512716,0.25251859426498413
14,IQ2_XXS,False,False,32,11264,11741,4.493024270050228,2613.1619359956735,257,7.632222414016724,33.541999448267006,0.26498262118548155
15,IQ2_XXS,False,False,32,15360,16007,7.272518283687532,2202.263284222241,257,8.229780435562134,31.10654069138771,0.3098222082480788
16,IQ2_XXS,False,False,33,128,136,0.1432743277400732,949.2279750684281,257,3.414193868637085,74.98109651933528,0.21878125332295895
17,IQ2_XXS,False,False,33,1024,1074,0.30104219168424606,3567.606234831315,257,3.5824639797210693,71.45919720313061,0.21780406683683395
